alaninylalanine,alaninylglycine,alaninylisoleucine,alaninylleucine,alaninylproline,alaninylvaline,alaninylphenylalanine,alaninyltryptophan,alaninyltyrosine,alaninylaspartic acid,alaninylglutamic acid,alaninylarginine,alaninylhistidine,alaninyllysine,alaninylserine,alaninylthreonine,alaninylcysteine,alaninylmethionine,alaninylasparagine,alaninylglutamine,alaninyl(selenomethionine),alaninyl(selenocysteine),alaninylornithine,alaninyl(phosphotyrosine),alaninyl(phosphoserine)
glycinylalanine,glycinylglycine,glycinylisoleucine,glycinylleucine,glycinylproline,glycinylvaline,glycinylphenylalanine,glycinyltryptophan,glycinyltyrosine,glycinylaspartic acid,glycinylglutamic acid,glycinylarginine,glycinylhistidine,glycinyllysine,glycinylserine,glycinylthreonine,glycinylcysteine,glycinylmethionine,glycinylasparagine,glycinylglutamine,glycinyl(selenomethionine),glycinyl(selenocysteine),glycinylornithine,glycinyl(phosphotyrosine),glycinyl(phosphoserine)
isoleucinylalanine,isoleucinylglycine,isoleucinylisoleucine,isoleucinylleucine,isoleucinylproline,isoleucinylvaline,isoleucinylphenylalanine,isoleucinyltryptophan,isoleucinyltyrosine,isoleucinylaspartic acid,isoleucinylglutamic acid,isoleucinylarginine,isoleucinylhistidine,isoleucinyllysine,isoleucinylserine,isoleucinylthreonine,isoleucinylcysteine,isoleucinylmethionine,isoleucinylasparagine,isoleucinylglutamine,isoleucinyl(selenomethionine),isoleucinyl(selenocysteine),isoleucinylornithine,isoleucinyl(phosphotyrosine),isoleucinyl(phosphoserine)
leucinylalanine,leucinylglycine,leucinylisoleucine,leucinylleucine,leucinylproline,leucinylvaline,leucinylphenylalanine,leucinyltryptophan,leucinyltyrosine,leucinylaspartic acid,leucinylglutamic acid,leucinylarginine,leucinylhistidine,leucinyllysine,leucinylserine,leucinylthreonine,leucinylcysteine,leucinylmethionine,leucinylasparagine,leucinylglutamine,leucinyl(selenomethionine),leucinyl(selenocysteine),leucinylornithine,leucinyl(phosphotyrosine),leucinyl(phosphoserine)
prolinylalanine,prolinylglycine,prolinylisoleucine,prolinylleucine,prolinylproline,prolinylvaline,prolinylphenylalanine,prolinyltryptophan,prolinyltyrosine,prolinylaspartic acid,prolinylglutamic acid,prolinylarginine,prolinylhistidine,prolinyllysine,prolinylserine,prolinylthreonine,prolinylcysteine,prolinylmethionine,prolinylasparagine,prolinylglutamine,prolinyl(selenomethionine),prolinyl(selenocysteine),prolinylornithine,prolinyl(phosphotyrosine),prolinyl(phosphoserine)
valinylalanine,valinylglycine,valinylisoleucine,valinylleucine,valinylproline,valinylvaline,valinylphenylalanine,valinyltryptophan,valinyltyrosine,valinylaspartic acid,valinylglutamic acid,valinylarginine,valinylhistidine,valinyllysine,valinylserine,valinylthreonine,valinylcysteine,valinylmethionine,valinylasparagine,valinylglutamine,valinyl(selenomethionine),valinyl(selenocysteine),valinylornithine,valinyl(phosphotyrosine),valinyl(phosphoserine)
phenylalaninylalanine,phenylalaninylglycine,phenylalaninylisoleucine,phenylalaninylleucine,phenylalaninylproline,phenylalaninylvaline,phenylalaninylphenylalanine,phenylalaninyltryptophan,phenylalaninyltyrosine,phenylalaninylaspartic acid,phenylalaninylglutamic acid,phenylalaninylarginine,phenylalaninylhistidine,phenylalaninyllysine,phenylalaninylserine,phenylalaninylthreonine,phenylalaninylcysteine,phenylalaninylmethionine,phenylalaninylasparagine,phenylalaninylglutamine,phenylalaninyl(selenomethionine),phenylalaninyl(selenocysteine),phenylalaninylornithine,phenylalaninyl(phosphotyrosine),phenylalaninyl(phosphoserine)
tryptophanylalanine,tryptophanylglycine,tryptophanylisoleucine,tryptophanylleucine,tryptophanylproline,tryptophanylvaline,tryptophanylphenylalanine,tryptophanyltryptophan,tryptophanyltyrosine,tryptophanylaspartic acid,tryptophanylglutamic acid,tryptophanylarginine,tryptophanylhistidine,tryptophanyllysine,tryptophanylserine,tryptophanylthreonine,tryptophanylcysteine,tryptophanylmethionine,tryptophanylasparagine,tryptophanylglutamine,tryptophanyl(selenomethionine),tryptophanyl(selenocysteine),tryptophanylornithine,tryptophanyl(phosphotyrosine),tryptophanyl(phosphoserine)
tyrosinylalanine,tyrosinylglycine,tyrosinylisoleucine,tyrosinylleucine,tyrosinylproline,tyrosinylvaline,tyrosinylphenylalanine,tyrosinyltryptophan,tyrosinyltyrosine,tyrosinylaspartic acid,tyrosinylglutamic acid,tyrosinylarginine,tyrosinylhistidine,tyrosinyllysine,tyrosinylserine,tyrosinylthreonine,tyrosinylcysteine,tyrosinylmethionine,tyrosinylasparagine,tyrosinylglutamine,tyrosinyl(selenomethionine),tyrosinyl(selenocysteine),tyrosinylornithine,tyrosinyl(phosphotyrosine),tyrosinyl(phosphoserine)
aspartylalanine,aspartylglycine,aspartylisoleucine,aspartylleucine,aspartylproline,aspartylvaline,aspartylphenylalanine,aspartyltryptophan,aspartyltyrosine,aspartylaspartic acid,aspartylglutamic acid,aspartylarginine,aspartylhistidine,aspartyllysine,aspartylserine,aspartylthreonine,aspartylcysteine,aspartylmethionine,aspartylasparagine,aspartylglutamine,aspartyl(selenomethionine),aspartyl(selenocysteine),aspartylornithine,aspartyl(phosphotyrosine),aspartyl(phosphoserine)
glutamylalanine,glutamylglycine,glutamylisoleucine,glutamylleucine,glutamylproline,glutamylvaline,glutamylphenylalanine,glutamyltryptophan,glutamyltyrosine,glutamylaspartic acid,glutamylglutamic acid,glutamylarginine,glutamylhistidine,glutamyllysine,glutamylserine,glutamylthreonine,glutamylcysteine,glutamylmethionine,glutamylasparagine,glutamylglutamine,glutamyl(selenomethionine),glutamyl(selenocysteine),glutamylornithine,glutamyl(phosphotyrosine),glutamyl(phosphoserine)
argininylalanine,argininylglycine,argininylisoleucine,argininylleucine,argininylproline,argininylvaline,argininylphenylalanine,argininyltryptophan,argininyltyrosine,argininylaspartic acid,argininylglutamic acid,argininylarginine,argininylhistidine,argininyllysine,argininylserine,argininylthreonine,argininylcysteine,argininylmethionine,argininylasparagine,argininylglutamine,argininyl(selenomethionine),argininyl(selenocysteine),argininylornithine,argininyl(phosphotyrosine),argininyl(phosphoserine)
histidinylalanine,histidinylglycine,histidinylisoleucine,histidinylleucine,histidinylproline,histidinylvaline,histidinylphenylalanine,histidinyltryptophan,histidinyltyrosine,histidinylaspartic acid,histidinylglutamic acid,histidinylarginine,histidinylhistidine,histidinyllysine,histidinylserine,histidinylthreonine,histidinylcysteine,histidinylmethionine,histidinylasparagine,histidinylglutamine,histidinyl(selenomethionine),histidinyl(selenocysteine),histidinylornithine,histidinyl(phosphotyrosine),histidinyl(phosphoserine)
lysinylalanine,lysinylglycine,lysinylisoleucine,lysinylleucine,lysinylproline,lysinylvaline,lysinylphenylalanine,lysinyltryptophan,lysinyltyrosine,lysinylaspartic acid,lysinylglutamic acid,lysinylarginine,lysinylhistidine,lysinyllysine,lysinylserine,lysinylthreonine,lysinylcysteine,lysinylmethionine,lysinylasparagine,lysinylglutamine,lysinyl(selenomethionine),lysinyl(selenocysteine),lysinylornithine,lysinyl(phosphotyrosine),lysinyl(phosphoserine)
serinylalanine,serinylglycine,serinylisoleucine,serinylleucine,serinylproline,serinylvaline,serinylphenylalanine,serinyltryptophan,serinyltyrosine,serinylaspartic acid,serinylglutamic acid,serinylarginine,serinylhistidine,serinyllysine,serinylserine,serinylthreonine,serinylcysteine,serinylmethionine,serinylasparagine,serinylglutamine,serinyl(selenomethionine),serinyl(selenocysteine),serinylornithine,serinyl(phosphotyrosine),serinyl(phosphoserine)
threoninylalanine,threoninylglycine,threoninylisoleucine,threoninylleucine,threoninylproline,threoninylvaline,threoninylphenylalanine,threoninyltryptophan,threoninyltyrosine,threoninylaspartic acid,threoninylglutamic acid,threoninylarginine,threoninylhistidine,threoninyllysine,threoninylserine,threoninylthreonine,threoninylcysteine,threoninylmethionine,threoninylasparagine,threoninylglutamine,threoninyl(selenomethionine),threoninyl(selenocysteine),threoninylornithine,threoninyl(phosphotyrosine),threoninyl(phosphoserine)
cysteinylalanine,cysteinylglycine,cysteinylisoleucine,cysteinylleucine,cysteinylproline,cysteinylvaline,cysteinylphenylalanine,cysteinyltryptophan,cysteinyltyrosine,cysteinylaspartic acid,cysteinylglutamic acid,cysteinylarginine,cysteinylhistidine,cysteinyllysine,cysteinylserine,cysteinylthreonine,cysteinylcysteine,cysteinylmethionine,cysteinylasparagine,cysteinylglutamine,cysteinyl(selenomethionine),cysteinyl(selenocysteine),cysteinylornithine,cysteinyl(phosphotyrosine),cysteinyl(phosphoserine)
methioninylalanine,methioninylglycine,methioninylisoleucine,methioninylleucine,methioninylproline,methioninylvaline,methioninylphenylalanine,methioninyltryptophan,methioninyltyrosine,methioninylaspartic acid,methioninylglutamic acid,methioninylarginine,methioninylhistidine,methioninyllysine,methioninylserine,methioninylthreonine,methioninylcysteine,methioninylmethionine,methioninylasparagine,methioninylglutamine,methioninyl(selenomethionine),methioninyl(selenocysteine),methioninylornithine,methioninyl(phosphotyrosine),methioninyl(phosphoserine)
asparaginylalanine,asparaginylglycine,asparaginylisoleucine,asparaginylleucine,asparaginylproline,asparaginylvaline,asparaginylphenylalanine,asparaginyltryptophan,asparaginyltyrosine,asparaginylaspartic acid,asparaginylglutamic acid,asparaginylarginine,asparaginylhistidine,asparaginyllysine,asparaginylserine,asparaginylthreonine,asparaginylcysteine,asparaginylmethionine,asparaginylasparagine,asparaginylglutamine,asparaginyl(selenomethionine),asparaginyl(selenocysteine),asparaginylornithine,asparaginyl(phosphotyrosine),asparaginyl(phosphoserine)
glutaminylalanine,glutaminylglycine,glutaminylisoleucine,glutaminylleucine,glutaminylproline,glutaminylvaline,glutaminylphenylalanine,glutaminyltryptophan,glutaminyltyrosine,glutaminylaspartic acid,glutaminylglutamic acid,glutaminylarginine,glutaminylhistidine,glutaminyllysine,glutaminylserine,glutaminylthreonine,glutaminylcysteine,glutaminylmethionine,glutaminylasparagine,glutaminylglutamine,glutaminyl(selenomethionine),glutaminyl(selenocysteine),glutaminylornithine,glutaminyl(phosphotyrosine),glutaminyl(phosphoserine)
(selenomethioninyl)alanine,(selenomethioninyl)glycine,(selenomethioninyl)isoleucine,(selenomethioninyl)leucine,(selenomethioninyl)proline,(selenomethioninyl)valine,(selenomethioninyl)phenylalanine,(selenomethioninyl)tryptophan,(selenomethioninyl)tyrosine,(selenomethioninyl)aspartic acid,(selenomethioninyl)glutamic acid,(selenomethioninyl)arginine,(selenomethioninyl)histidine,(selenomethioninyl)lysine,(selenomethioninyl)serine,(selenomethioninyl)threonine,(selenomethioninyl)cysteine,(selenomethioninyl)methionine,(selenomethioninyl)asparagine,(selenomethioninyl)glutamine,(selenomethioninyl)(selenomethionine),(selenomethioninyl)(selenocysteine),(selenomethioninyl)ornithine,(selenomethioninyl)(phosphotyrosine),(selenomethioninyl)(phosphoserine)
(selenocysteinyl)alanine,(selenocysteinyl)glycine,(selenocysteinyl)isoleucine,(selenocysteinyl)leucine,(selenocysteinyl)proline,(selenocysteinyl)valine,(selenocysteinyl)phenylalanine,(selenocysteinyl)tryptophan,(selenocysteinyl)tyrosine,(selenocysteinyl)aspartic acid,(selenocysteinyl)glutamic acid,(selenocysteinyl)arginine,(selenocysteinyl)histidine,(selenocysteinyl)lysine,(selenocysteinyl)serine,(selenocysteinyl)threonine,(selenocysteinyl)cysteine,(selenocysteinyl)methionine,(selenocysteinyl)asparagine,(selenocysteinyl)glutamine,(selenocysteinyl)(selenomethionine),(selenocysteinyl)(selenocysteine),(selenocysteinyl)ornithine,(selenocysteinyl)(phosphotyrosine),(selenocysteinyl)(phosphoserine)
ornithinylalanine,ornithinylglycine,ornithinylisoleucine,ornithinylleucine,ornithinylproline,ornithinylvaline,ornithinylphenylalanine,ornithinyltryptophan,ornithinyltyrosine,ornithinylaspartic acid,ornithinylglutamic acid,ornithinylarginine,ornithinylhistidine,ornithinyllysine,ornithinylserine,ornithinylthreonine,ornithinylcysteine,ornithinylmethionine,ornithinylasparagine,ornithinylglutamine,ornithinyl(selenomethionine),ornithinyl(selenocysteine),ornithinylornithine,ornithinyl(phosphotyrosine),ornithinyl(phosphoserine)
(phosphotyrosinyl)alanine,(phosphotyrosinyl)glycine,(phosphotyrosinyl)isoleucine,(phosphotyrosinyl)leucine,(phosphotyrosinyl)proline,(phosphotyrosinyl)valine,(phosphotyrosinyl)phenylalanine,(phosphotyrosinyl)tryptophan,(phosphotyrosinyl)tyrosine,(phosphotyrosinyl)aspartic acid,(phosphotyrosinyl)glutamic acid,(phosphotyrosinyl)arginine,(phosphotyrosinyl)histidine,(phosphotyrosinyl)lysine,(phosphotyrosinyl)serine,(phosphotyrosinyl)threonine,(phosphotyrosinyl)cysteine,(phosphotyrosinyl)methionine,(phosphotyrosinyl)asparagine,(phosphotyrosinyl)glutamine,(phosphotyrosinyl)(selenomethionine),(phosphotyrosinyl)(selenocysteine),(phosphotyrosinyl)ornithine,(phosphotyrosinyl)(phosphotyrosine),(phosphotyrosinyl)(phosphoserine)
(phosphoserinyl)alanine,(phosphoserinyl)glycine,(phosphoserinyl)isoleucine,(phosphoserinyl)leucine,(phosphoserinyl)proline,(phosphoserinyl)valine,(phosphoserinyl)phenylalanine,(phosphoserinyl)tryptophan,(phosphoserinyl)tyrosine,(phosphoserinyl)aspartic acid,(phosphoserinyl)glutamic acid,(phosphoserinyl)arginine,(phosphoserinyl)histidine,(phosphoserinyl)lysine,(phosphoserinyl)serine,(phosphoserinyl)threonine,(phosphoserinyl)cysteine,(phosphoserinyl)methionine,(phosphoserinyl)asparagine,(phosphoserinyl)glutamine,(phosphoserinyl)(selenomethionine),(phosphoserinyl)(selenocysteine),(phosphoserinyl)ornithine,(phosphoserinyl)(phosphotyrosine),(phosphoserinyl)(phosphoserine)
